ProductID,Price,Weight,CPUCompany,CPUModel,CPUSpeed,CPUCacheSize,RAMCapacity,RAMTechnology,DisplaySize,DisplayPixelWidth,DisplayPixelHeight
807845,15900000,2.1,Intel,Core i3,2.0,4,4,DDR4,15.6,1366,768
1165258,27500000,2.2,Intel,Core i7,2.0,8,16,DDR4,15.6,1920,1080
1722266,49999000,1.37,Intel,Core i5,2.2,6,8,DDR4,13.3,2560,1600
1722812,54999000,1.37,Intel,Core i5,2.2,6,8,DDR4,13.3,2560,1600
1743571,23299000,2.1,Intel,Core i5,2.8,6,8,DDR4,15.6,1366,768
1788325,13109000,2.2,Intel,Celeron,2.0,4,8,DDR4,15.6,1366,768
1942731,19750000,2.1,Intel,Core i5,2.0,6,4,DDR4,15.6,1366,768
2014573,36400000,2.2,Intel,Core i7,2.5,12,16,DDR4,15.6,1920,1080
2129897,20769380,2.2,AMD,Ryzen 3,2.0,4,12,DDR4,15.6,1366,768
2152433,40850000,1.86,Intel,Core i7,2.5,12,16,DDR4,15.6,1920,1080
2187972,59849000,2.39,Intel,Core i7,2.8,12,16,DDR4,15.6,1920,1080
2251159,45000000,1.86,Intel,Core i7,,12,16,DDR3,15.6,1920,1080
2267260,26097770,2.2,AMD,Ryzen 7,2.0,6,12,DDR4,15.6,1920,1080
2348690,16399980,1.8,AMD,Ryzen 3,2.8,4,4,DDR4,15.6,1366,768
2366270,47000000,1.99,Intel,Core i7,2.2,9,16,DDR4,15.6,1920,1080
2478443,47300000,1.6,Intel,Core i7,2.8,8,16,DDR3,14,1920,1080
2511866,42890000,2.5,Intel,Core i7,2.8,12,16,DDR4,15.6,1920,1080
2538161,22489000,2.2,AMD,Ryzen 5,2.0,4,12,DDR4,15.6,1366,768
2563660,52999000,1.288,Intel,Core i5,2.0,6,8,DDR4,13.5,2256,1504
2563904,63849000,1.288,Intel,Core i7,2.0,8,16,DDR4,13.5,2256,1504
2579762,11500000,1.9,Intel,Celeron,2.0,4,4,DDR4,15.6,1920,1080
2610315,24685290,2.2,AMD,Ryzen 7,2.0,6,12,DDR4,15.6,1920,1080
2677525,26490000,2.2,Intel,Core i7,2.8,8,12,DDR4,15.6,1920,1080
2705549,19500000,1.8,AMD,Ryzen 3,,4,8,DDR4,15.6,1920,1080
2728975,30800000,2.14,Intel,Core i5,2.5,8,8,DDR4,15.6,1920,1080
2750375,21000000,1.85,Intel,Core i5,2.0,6,8,DDR4,15.6,1366,768
2837419,37149000,1.29,Intel,Core i3,2.0,4,8,DDR4,13.3,2560,1600
2837445,37149000,1.29,Intel,Core i3,2.0,4,4,DDR4,13.3,2560,1600
2837471,37149000,1.29,Intel,Core i3,2.0,4,8,DDR4,13.3,2560,1600
2837919,47999000,1.29,Intel,Core i5,2.0,6,8,DDR4,13.3,2560,1600
2843863,47999000,1.29,Intel,Core i5,2.0,6,8,DDR4,13.3,2560,1600
2843902,47999000,1.29,Intel,Core i5,2.0,6,8,DDR4,13.3,2560,1600
2845964,51149000,1.4,Intel,Core i5,2.0,6,8,DDR3,13.3,2560,1600
2848889,51149000,1.4,Intel,Core i5,2.0,6,8,DDR3,13.3,2560,1600
2858674,59999000,1.4,Intel,Core i5,2.0,6,8,DDR3,13.3,2560,1600
2858818,59999000,1.4,Intel,Core i5,2.0,6,8,DDR3,13.3,2560,1600
2858920,64149000,1.4,Intel,Core i5,2.0,6,16,DDR4,13.3,2560,1600
2859336,66149000,1.4,Intel,Core i5,2.0,6,16,DDR4,13.3,2560,1600
2860869,50112500,1.59,Intel,Core i7,2.8,8,16,DDR3,15.6,1920,1080
2896649,17730000,2.2,Intel,Core i3,2.0,4,4,DDR4,15.6,1366,768
2897028,21329000,2.2,Intel,Core i5,2.0,6,4,DDR4,15.6,1920,1080
2905622,22450000,2.2,Intel,Core i5,2.8,6,8,DDR4,15.6,1920,1080
2908455,49500000,1.3,Intel,Core i7,2.8,8,16,DDR3,14,1920,1080
2924678,27120000,2.04,Intel,Core i7,2.0,8,8,DDR4,15.6,1920,1080
2926113,38100000,1.6,Intel,Core i7,2.0,8,8,DDR4,14,1920,1080
2926183,39130000,1.6,Intel,Core i7,2.0,8,16,DDR4,14,1920,1080
2926272,40160000,1.6,Intel,Core i7,2.0,8,16,DDR4,14,1920,1080
2926300,41190000,1.6,Intel,Core i7,2.0,8,16,DDR4,14,1920,1080
2946133,25380000,2.2,Intel,Core i5,2.0,6,8,DDR4,15.6,1920,1080
2989740,61800000,1.9,AMD,Ryzen 7,2.8,8,32,DDR4,15.6,1920,1080
3013533,51490000,1.59,Intel,Core i7,2.8,8,16,DDR3,15.6,1920,1080
3031550,23850000,2.2,Intel,Core i5,2.8,6,12,DDR4,15.6,1920,1080
3095101,20299900,1.8,AMD,Ryzen 5,2.8,4,8,DDR4,15.6,1920,1080
3159354,16800000,1.8,Intel,Core i3,2.2,4,4,DDR4,15.6,1920,1080
3175718,49430000,1.9,Intel,Core i7,2.0,8,16,DDR4,15.6,1920,1080
3175751,51490000,1.9,Intel,Core i7,2.0,8,32,DDR4,15.6,1920,1080
3190060,23250000,2.2,Intel,Core i5,2.0,6,8,DDR4,15.6,1920,1080
3247877,47150000,2.5,Intel,Core i7,2.8,12,24,DDR4,15.6,1920,1080
3252652,19890000,2.04,Intel,Core i5,2.8,6,4,DDR4,15.6,1366,768
3270287,27255300,2,AMD,Ryzen 7,2.8,,16,DDR4,15.6,1920,1080
3324074,72300000,2.4,Intel,Core i7,2.8,12,16,DDR4,15.6,1920,1080
3327078,21499500,1.8,AMD,Ryzen 5,2.8,,12,DDR4,15.6,1920,1080
3327134,20299950,1.8,AMD,Ryzen 5,2.8,,8,DDR4,15.6,1920,1080
3331894,44900000,2.39,Intel,Core i7,2.8,12,8,DDR4,15.6,1920,1080
3332115,51900000,2.39,Intel,Core i7,2.8,12,32,DDR4,15.6,1920,1080
3370794,27290000,1.9,Intel,Core i5,2.0,6,8,DDR4,15.6,1920,1080
3370857,21000000,2.1,Intel,Core i5,2.8,6,4,DDR4,15.6,1920,1080
3371169,30890000,1.9,Intel,Core i7,2.0,8,8,DDR4,15.6,1920,1080
3371196,32440000,1.9,Intel,Core i7,2.0,8,8,DDR4,15.6,1920,1080
3371228,33980000,1.9,Intel,Core i7,2.0,8,16,DDR4,15.6,1920,1080
3371263,35010000,1.9,Intel,Core i7,2.0,8,16,DDR4,15.6,1920,1080
3373052,33980000,1.9,Intel,Core i7,2.0,8,8,DDR4,15.6,1920,1080
3373074,36560000,1.9,Intel,Core i7,2.0,8,16,DDR4,15.6,1920,1080
3373078,37590000,1.9,Intel,Core i7,2.0,8,16,DDR4,15.6,1920,1080
3373091,52200000,2.6,AMD,Ryzen 7,2.8,8,16,DDR4,17.3,1920,1080
