ProductID,Price,Weight,DisplaySize,DisplayPixelWidth,DisplayPixelHeight,CPUCompany,CPUModel,CPUSpeed,CPUCacheSize,RAMCapacity,RAMTechnology
3585871,28100000,1.9,15.6,1920,1080,Intel,Core i7,2.8,8,8,DDR4
2896649,17640000,2.2,15.6,1366,768,Intel,Core i3,2.0,4,4,DDR4
3635241,39990000,1.09,14,1920,1080,Intel,Core i7,2.8,8,16,DDR4
3430580,55350000,1.9,15.6,1920,1080,Intel,Core i7,,8,16,DDR4
3659939,17100000,2.1,15.6,1920,1080,Intel,Core i3,2.8,4,4,DDR4
3560381,66940000,2.3,15.6,1920,1080,Intel,Core i7,2.5,12,16,DDR4
3548664,30310000,1.9,15.6,1920,1080,Intel,Core i7,,,8,DDR4
3479867,16999950,1.8,15.6,1366,768,AMD,Ryzen 3,2.8,4,12,DDR4
3373091,58000000,2.6,17.3,1920,1080,AMD,Ryzen 7,2.8,8,16,DDR4
3190060,21800000,2.2,15.6,1920,1080,Intel,Core i5,2.0,6,8,DDR4
3597987,22500000,1.85,15.6,1366,768,Intel,Core i5,2.0,6,12,DDR4
2014573,35940000,2.2,15.6,1920,1080,Intel,Core i7,2.5,12,16,DDR4
3545013,10250000,2,15.6,1920,1080,AMD,Carrizo,,1,4,DDR3
3597660,46999000,1.29,13.3,2560,1600,Intel,Core i5,2.0,6,8,DDR4
3576690,17500000,2.1,15.6,1366,768,Intel,Core i3,2.2,4,8,DDR4
3515784,36900000,1.8,15.6,1920,1080,Intel,Core i7,2.8,8,16,DDR4
2884164,49999000,2.49,15.6,1920,1080,Intel,Core i7,2.5,12,24,DDR4
3433084,23350000,1.7,15.6,1920,1080,Intel,Core i5,2.8,6,8,DDR4
3324074,72300000,2.4,15.6,1920,1080,Intel,Core i7,2.8,12,16,DDR4
2366270,46999000,1.99,15.6,1920,1080,Intel,Core i7,2.2,9,16,DDR4
3623141,11200000,1.9,15.6,1920,1080,Intel,Celeron,,,4,DDR4
3422732,16950000,1.90,15.6,1920,1080,Intel,Core i3,,4,4,DDR4
3371263,35010000,1.9,15.6,1920,1080,Intel,Core i7,2.0,8,16,DDR4
3649668,22700000,2.1,15.6,1920,1080,Intel,Core i5,2.0,6,12,DDR4
3421110,46406000,2.39,15.6,1920,1080,Intel,Core i7,,12,16,DDR4
2926300,41190000,1.6,14,1920,1080,Intel,Core i7,2.0,8,16,DDR4
3558136,14980000,2.05,15.6,1366,768,Intel,Core i3,2.2,4,4,DDR4
3430442,24442000,1.9,15.6,1920,1080,Intel,Core i5,2.8,6,8,DDR4
3405844,17660000,2.05,15.6,1366,768,Intel,Core i3,2.2,4,12,DDR4
3472806,12869000,2.2,15.6,1366,768,Intel,Celeron,2.0,4,8,DDR4
2251159,45000000,1.86,15.6,1920,1080,Intel,Core i7,,12,16,DDR3
3577499,20500000,2.2,15.6,1366,768,Intel,Core i3,2.0,4,8,DDR4
3327078,21499500,1.8,15.6,1920,1080,AMD,Ryzen 5,2.8,,12,DDR4
3388401,44999000,2.39,15.6,1920,1080,Intel,Core i7,2.8,12,16,DDR4
3651005,24600000,2.4,15.6,1920,1080,Intel,Core i5,2.0,6,8,DDR4
3530752,34500000,2.14,15.6,1920,1080,Intel,Core i5,2.8,12,12,DDR4
2538161,21999000,2.2,15.6,1366,768,AMD,Ryzen 5,2.0,4,12,DDR4
2837471,34449000,1.29,13.3,2560,1600,Intel,Core i3,2.0,4,8,DDR4
3371169,30890000,1.9,15.6,1920,1080,Intel,Core i7,2.0,8,8,DDR4
2908455,47773000,1.3,14,1920,1080,Intel,Core i7,2.8,8,16,DDR3
3409565,22290000,1.7,15.6,1920,1080,Intel,Core i5,,6,4,DDR4
3595398,34799000,1.29,13.3,2560,1600,Intel,Core i3,2.0,4,8,DDR4
3436861,22550000,1.7,15.6,1920,1080,Intel,Core i3,2.8,4,8,DDR4
2152433,43000000,1.86,15.6,1920,1080,Intel,Core i7,2.5,12,16,DDR4
2858920,61849000,1.4,13.3,2560,1600,Intel,Core i5,2.0,6,16,DDR4
2859385,62949000,1.4,13.3,2560,1600,Intel,Core i5,2.0,6,16,DDR4
